Date,close,open,high,low,change,volume
2011-10-14,24045,135,23880,24115,23685,96900000000
2011-10-17,24415,370,24270,24450,24215,92169000000
2011-10-18,24020,-395,23980,24180,23900,54660000000
2011-10-19,24330,310,24270,24330,24000,48881000000
2011-10-20,23655,-675,24315,24520,23655,73092000000
2011-10-21,24050,395,23950,24145,23700,81865000000
2011-10-24,24900,850,24340,24925,24320,87759000000
2011-10-25,24835,-65,24930,25010,24780,110804000000
2011-10-26,24875,40,24590,24910,24520,42194000000
2011-10-27,25300,425,25000,25300,24830,80602000000
2011-10-28,25415,115,25715,25855,25325,145392000000
2011-10-31,25210,-205,25410,25595,25050,72235000000
2011-11-01,25125,-85,24910,25390,24910,76802000000
2011-11-02,24935,-190,24540,24935,24490,69588000000
2011-11-03,24525,-410,25050,25050,24410,50488000000
2011-11-04,25345,820,24955,25395,24955,82393000000
2011-11-07,25195,-150,25340,25390,25150,80409000000
2011-11-08,24965,-230,25285,25330,24960,29732000000
2011-11-09,25080,115,25200,25335,24965,30065000000
2011-11-10,23870,-1210,24455,24510,23870,123589000000
2011-11-11,24400,530,24190,24455,23860,339565000000
2011-11-14,24920,520,24715,25070,24715,80061000000
2011-11-15,24770,-150,24800,24930,24655,133411000000
2011-11-16,24290,-480,24865,25125,24240,66682000000
2011-11-17,24645,355,24400,24650,24000,87184000000
2011-11-18,24060,-585,24250,24300,23930,155842000000
2011-11-21,23790,-270,24035,24035,23635,238469000000
2011-11-22,23920,130,23500,23955,23480,128168000000
2011-11-23,23355,-565,23920,23920,23300,101694000000
2011-11-24,23450,95,23240,23600,23190,115062000000
2011-11-25,23280,-170,23300,23410,23130,53562000000
